"","Sub1","Gnas","Ctsd","Kif1a","Tcf25","Aldoa","Pkm","Slc25a3","Hspa8","Rpl41","Gabarapl1","Gm6682","Oxct1","Atp6v0c-ps2","Purb","Atp6v1a","Eif4g2","Rps27a","Ubc","Cltc","Tspan3","Aplp2","Lars2","Tspan7","Ndufa4","Sumo1","Rpl7","Dynlrb1","Ndufv3","Gstm5","Gm15421","Ndufa5","Cox7b","Rnasek","Uqcrh","Ndufb10","Eif4a2","Atp5j2","Ldhb","Atp5f1","Ndufa13","Uqcrc2","Ndufv2","Atp5j","Ndufa11","Ndufa6","Atp6v1f","Ndufb9","Akr1a1","Mdh1","Vdac3","Sod1","BC002163_loc1","Ndufb5","Hspe1","Gpx4","Cox4i1","Npm1","Myl12b","Hint1","Gpi1","Atp6v1e1","Atp5h","Gm5506_loc1","Gabarapl2","Atp5g3","Acot7","Tuba1b","Slc25a4","Chchd2","Atp5b","Prdx2","Ckb","Morf4l2","Tuba1a","Ran","Atp6ap2","Skp1a","Ppp2r1a","Cst3","Ubb","Mdh2","Ndufa12","Pgk1","Atp5a1","Atp5o","Ghitm","Uqcrq","Ndufb8","Cox6a1","Camk2n1","Slc1a2","H2afz","Ubl5","Timm8b","Vps29","Calm1","Ppia","Nap1l1","Grcc10","Tubb5","Rps28","Rps24","Rps15a-ps4","Rpl32","Rps20","Rplp1","Sumo2","Rpl39","Polr2l","Rps29","Cox8a","Vmp1","Tomm7","Tpi1","Atp5l","Atp5e","Mif","Atp5k","Cox7c","Cox6b1","Cox7a2","Usmg5","Cox6c","Atp6v1d","Nedd8","Atpif1","Atp5c1","Scg5","Ndufb4","Uqcr10","Nme1","Ndufc1","Cycs","2010107E04Rik","Ndufa1","Uqcr11","Meg3","Luc7l3","Pea15a","Ttc3","Gdi1","G3bp2","Arl6ip1","Hsp90aa1","Tmod2","Ywhaq","Atxn7l3b","Serinc1","Sparcl1","Hsp90ab1","Ywhaz","Matr3","Actg1","H3f3b","Actb","Gpm6a","Dynll1","Gpm6b","Gstp1","Itm2b","Fkbp1a","Sh3bgrl3","Calm2","Brk1","Nmt1","Capza2","Fth1","Tmsb4x","Slc22a17","Ywhab","Prkar1a","Psap","Tmem30a","Ncam1","Map1a","Dpysl2","Cfl1","App","Map1b","Syt11","Sptbn1","Cpe","Aplp1","2900097C17Rik","Ywhae","Rtn3","Serbp1","Eef1a1","Canx","Pja2","Calm3","Arf1","Trim2","Ppp3ca","Zeb2","Tppp","Tcf4","Gnao1","Gria2","Atp2b1","Rab6a","Ctsb","Prnp","Rtn4","Nptn","Prkcb","Kif1b","Atp2a2","Egr1","Scd2","Hmgcs1","Taldo1","Ctsl","Ptma","Ftl1","Cd81","1810037I17Rik","Prdx1","Malat1","Ptn","Pcdh9","Ptprd","Rnf7","Sf3b1","Eef1b2","Myeov2","Prrc2c","H3f3a","Rps12","Amd2","Ank3","Cisd1","Ndufs7","Oaz1-ps","Eef2","Hsp90b1","Metap2","Naca","Myl6","Sec61g","Ccdc88a","Gnb2l1","Gm15772","Eif4a1","Gabarap","Psmb6","Nme2","Spag9","Rpl23","Rpl19","Eif1","Rpl27","Mapt","Ddx5","Rpl38","Rpl36al","Actr10","Psma3","Erh","Srsf5","Rbm25","Dync1h1","Prpf4b","Hnrnpk","Ndufs6","Sdha","Cetn3","Rps23","Btf3","Vdac2","Selk","Spcs1","Hnrnpc","Dad1","Bnip3l","Tpt1","Mbnl2","Cct5","Pabpc1","Rpl8","Tnrc6b","Rbx1","Tmbim6","Pfdn5","Rpl31-ps12","Rpl35a","Cox17","Rpl24","Son","Gtf2h5","Mpc1","Psmb1","Tceb2","Gm6402","Ndufa7","Rps18","Cox7a2l","Paip2","Pura","Ndufa2","Rps14","BC031181","Ier3ip1","Fau","Hspa5","Rab14","Rpl35","Ssb","Dync1i2","Psmc3","Srp14","Serf2","Hypk","Dstn","Csnk2a1","Eif2s2","Rbm39","Top1","Serinc3","Psma7","Rps21","Sec62","Rps3a1","Csde1","Psma5","Sars","Sep-15","Zranb2","Sdcbp","Rab2a","Sfrs18","Dnaja1","Vcp","Atp6v1g1","Rps6","Tmem59","Scp2","Atp6v0b","Psmb2","Tmem50a","Srrm1","Cdc42","Eif4g3","Minos1","Sdhb","Park7","Kmt2e","Rpl5","Gm13826","Fis1","Arpc1a","Pdap1","Pomp","Hmgb1","Shfm1","Mrps33","Hnrnpa2b1","Cbx3","Mat2a","Cct7","Cnbp","Gm6654","Ndufa3","Rps9","Clcn4-2","Rps5","Rps16","Rpl13a","Ndufc2","Rps3","Fam168a","1110004F10Rik","Rps13","Eif3c","Rplp2","Lamp1","Tmem66","Clcn3","Uba52","Rpl18a","Ndufb7","Tecr","Vps35","Psmd7","Hsbp1","Map1lc3b","Elavl3","Sep-07","Rps25","Psma4","Rpl4","Ppib","Nedd4","Tma7","Rpsa","Ndufb11","Slc25a5","Atp6ap1","Atrx"
"1772067082_G02",30,13,2,4,5,49,18,18,33,13,3,11,5,27,3,38,1,1,15,9,6,5,38,3,12,4,3,4,14,1,1,8,8,5,11,7,11,11,1,4,12,4,2,3,6,1,4,9,8,22,4,9,5,3,2,4,8,3,9,7,11,25,2,12,7,14,9,15,15,8,23,9,7,9,22,5,2,10,9,1,8,7,5,6,17,2,3,6,12,6,12,6,7,7,5,3,104,50,9,7,10,9,3,1,6,3,9,6,1,7,6,22,3,6,16,6,11,8,9,16,12,15,22,8,9,9,8,5,4,14,10,14,7,13,8,3,6,84,4,25,37,8,7,10,75,4,12,2,20,3,63,26,5,24,9,27,39,31,14,7,25,15,1,85,2,6,4,23,33,8,24,9,17,4,8,8,12,15,57,24,20,13,40,17,21,20,19,5,33,10,13,27,14,14,35,2,4,7,13,64,43,10,4,30,20,19,19,14,24,2,6,6,1,4,11,3,2,1,4,270,0,4,5,1,2,3,7,2,0,4,2,9,3,4,9,6,8,4,5,9,5,3,3,4,8,2,5,2,0,3,8,8,5,6,11,12,3,4,0,5,6,6,6,3,7,4,4,3,7,6,5,5,8,5,5,4,7,7,7,6,4,2,9,1,1,5,3,6,2,13,3,1,3,6,0,1,1,3,2,4,2,2,2,8,4,5,8,12,2,9,3,8,3,4,2,5,8,11,4,8,5,0,16,12,10,0,3,2,5,4,11,0,8,10,1,3,1,0,7,3,3,1,8,5,7,2,6,6,6,3,0,8,1,3,1,7,8,8,5,7,6,14,5,7,2,2,5,3,5,0,8,5,6,6,3,8,4,3,4,8,7,1,11,2,4,5,5,9,5,3,3,8,3,8,3,1,7,5,10,10
"1772067054_E07",35,22,1,18,10,78,12,5,26,1,9,3,9,80,13,50,11,5,14,11,2,5,28,13,23,3,3,3,3,1,4,8,5,5,0,3,14,8,15,5,35,9,4,9,5,3,4,0,4,29,2,4,2,1,1,0,3,1,18,3,11,6,8,13,1,18,3,23,15,17,25,2,7,2,86,5,3,5,6,5,2,2,1,3,15,11,6,16,10,2,14,1,3,7,0,2,124,22,6,3,15,8,4,5,2,3,10,4,0,6,11,25,8,2,10,11,11,8,9,8,13,2,5,6,13,2,6,7,14,3,8,1,2,3,5,1,12,142,17,10,46,17,14,23,104,41,21,33,48,18,176,72,11,47,7,136,30,42,12,16,60,20,2,204,2,11,3,22,65,12,21,8,21,14,41,11,36,16,125,63,65,35,113,55,65,29,27,11,25,16,18,45,39,42,51,10,6,30,24,109,83,10,3,34,9,18,34,30,37,4,3,2,4,3,9,7,0,1,3,474,0,7,1,0,13,0,15,14,8,4,15,17,3,7,2,5,20,2,2,20,4,7,4,0,18,1,4,13,2,10,2,8,2,12,33,2,1,2,3,3,1,6,1,1,6,8,1,1,1,4,2,1,2,7,2,11,11,4,4,3,3,4,2,2,2,8,1,1,0,19,3,3,5,11,4,2,2,8,3,7,5,5,3,3,8,2,7,6,4,12,2,20,2,3,6,1,10,1,5,0,14,1,4,2,12,4,0,1,4,3,3,6,9,4,2,3,2,4,20,2,6,14,15,3,2,1,4,2,4,10,1,8,7,0,6,6,5,23,9,6,6,4,3,4,1,10,2,1,2,3,5,7,4,0,6,6,1,2,1,15,4,4,4,18,5,9,1,6,9,1,3,6,1,12,8,6,0,4,13,2
"1772066096_D07",46,20,3,22,8,41,21,9,42,3,17,6,14,20,10,44,19,4,6,5,10,12,35,12,16,14,8,6,6,0,6,24,16,10,14,13,24,31,11,6,19,9,9,9,5,9,8,6,4,26,8,8,6,8,5,2,21,12,19,13,11,16,7,15,6,8,9,5,36,10,31,15,13,11,46,7,3,12,6,5,13,8,8,9,17,19,15,23,9,3,13,2,6,8,10,9,168,77,7,9,7,19,9,10,19,2,13,12,10,7,36,24,2,9,23,11,24,23,12,28,28,13,36,31,16,6,16,18,22,17,15,13,11,21,24,8,14,173,6,23,37,9,11,16,90,11,19,16,22,7,92,45,16,34,17,92,46,48,11,11,45,17,17,110,8,13,14,69,114,19,33,12,17,20,17,7,10,13,47,36,35,15,65,28,54,13,19,10,41,14,33,40,21,28,89,18,9,23,17,86,129,9,5,32,17,14,57,22,41,20,6,7,6,1,18,1,3,3,2,959,5,2,1,7,15,6,14,10,1,3,19,22,4,8,9,8,21,4,2,17,3,12,6,15,11,5,2,8,5,11,11,9,12,2,19,15,15,9,6,4,7,12,9,11,9,5,10,6,4,9,3,2,6,9,9,14,14,10,3,15,4,8,7,4,16,20,4,8,14,21,10,4,5,15,7,6,8,4,0,11,7,7,1,3,14,5,5,19,9,14,11,2,5,3,10,6,16,15,1,12,3,7,11,28,12,10,8,3,7,6,14,9,10,9,5,10,1,3,11,10,5,1,18,17,13,9,13,7,0,13,1,13,9,4,5,12,9,18,8,4,3,9,11,10,8,4,9,14,8,5,12,11,5,3,10,11,3,4,3,3,7,3,9,6,9,6,5,9,14,8,6,18,5,12,14,6,14,5,14,14
"1772066095_C11",54,32,1,16,12,80,23,25,50,18,19,14,7,42,16,49,7,8,19,9,11,3,35,11,15,7,11,6,7,2,10,19,25,9,24,7,21,22,10,12,9,15,7,10,10,8,14,11,5,32,13,6,9,7,7,4,19,10,31,7,15,24,6,14,4,19,14,15,34,15,34,9,7,9,33,8,5,9,16,3,11,5,10,7,19,3,11,17,9,4,6,3,6,4,6,9,160,79,5,11,11,7,6,3,5,5,19,6,8,12,40,31,5,15,24,10,26,15,19,23,13,20,30,23,9,7,10,13,28,7,12,15,5,17,17,8,11,188,6,17,41,19,10,25,100,22,20,16,42,10,81,47,17,45,13,103,64,41,13,10,19,30,4,108,8,17,10,52,116,27,25,16,17,22,14,7,15,13,73,43,26,26,77,38,41,33,21,16,34,6,26,39,23,33,68,27,6,36,19,112,104,17,6,59,14,26,71,23,32,5,8,2,4,2,18,3,4,1,2,691,2,1,0,3,15,5,12,9,8,3,13,17,2,8,8,1,22,3,8,19,3,14,8,7,11,3,9,7,7,10,7,13,11,7,14,12,3,9,2,8,5,12,10,12,14,7,5,3,12,2,4,6,5,20,2,8,11,10,6,14,9,9,7,1,9,7,6,4,3,28,6,3,5,11,2,4,10,3,6,7,6,6,3,8,10,6,15,7,6,14,4,13,7,2,2,3,17,4,7,6,6,6,12,11,10,1,7,2,1,7,11,5,14,6,6,11,4,1,10,8,4,8,13,7,10,6,10,9,7,8,6,14,7,12,10,8,5,6,10,5,6,6,4,8,4,10,8,6,11,8,10,9,3,9,14,12,1,10,5,10,10,4,6,8,7,13,4,11,16,9,6,13,1,7,5,8,10,11,11,8
"1772067054_H06",47,23,14,11,13,90,9,12,41,15,6,8,3,59,6,50,11,3,25,2,14,16,23,17,23,9,8,2,6,11,4,7,14,4,4,4,19,11,12,4,11,6,17,4,5,7,2,6,17,16,8,5,3,3,3,3,6,2,11,3,5,22,11,19,4,23,5,15,37,25,20,7,16,20,95,4,2,6,13,113,2,3,4,9,17,2,12,4,3,1,12,35,4,4,2,1,91,44,6,12,6,12,4,0,7,2,3,5,0,9,25,15,6,10,15,4,20,12,11,11,17,14,11,8,12,11,10,11,32,8,20,23,9,5,8,8,10,107,2,19,47,22,23,28,112,7,35,26,43,36,116,68,13,42,18,65,57,59,15,34,64,20,4,125,9,5,2,25,34,21,26,12,18,24,33,5,15,8,104,31,55,32,97,46,45,16,48,12,47,29,35,28,30,21,41,41,6,21,12,110,53,8,6,45,18,11,36,27,27,3,10,5,3,4,15,8,6,1,5,574,4,7,10,7,5,5,16,7,8,4,7,8,5,9,3,4,19,3,2,11,4,6,3,4,15,3,4,3,5,2,6,6,5,11,24,6,1,7,1,7,2,7,2,3,8,5,11,3,5,8,1,3,7,4,9,4,4,6,19,9,7,1,4,16,2,5,5,3,7,12,2,1,6,4,1,5,8,8,9,3,8,1,7,2,1,12,25,9,1,7,9,3,3,6,7,2,15,14,3,0,7,4,9,6,7,3,7,0,6,5,8,4,9,19,4,6,4,6,9,2,4,12,14,11,9,4,10,8,4,3,2,13,14,3,5,2,8,26,11,17,4,11,9,7,5,12,1,0,3,4,3,13,5,3,19,3,4,2,19,8,7,1,6,7,9,5,3,9,10,1,6,2,1,8,9,1,9,6,11,15
"1772066073_E09",30,22,1,12,7,23,0,8,7,1,11,1,12,26,14,33,15,4,2,6,19,16,3,15,20,3,3,5,6,4,6,12,8,11,7,6,23,10,6,7,10,7,4,12,10,7,6,7,12,31,6,5,3,6,3,7,10,5,7,3,4,11,11,5,6,22,3,6,34,6,27,15,10,10,19,1,21,6,3,7,1,9,7,8,15,3,8,4,6,5,9,5,7,3,12,7,108,30,3,9,6,12,4,1,5,2,16,3,10,3,11,19,8,4,9,12,3,8,7,8,4,15,12,5,5,5,8,5,34,2,4,5,4,9,6,5,5,91,10,5,36,13,9,17,44,11,8,13,31,22,48,29,14,36,9,37,61,14,24,7,26,28,8,83,9,4,9,33,44,13,16,9,10,7,10,1,20,3,62,27,21,21,38,16,20,11,20,6,20,5,20,24,12,16,37,6,3,30,9,47,68,16,3,29,19,24,43,20,25,7,9,12,1,5,10,7,9,5,6,410,0,1,12,6,10,7,7,7,8,3,6,6,5,4,12,1,12,8,3,4,3,4,3,4,9,2,2,5,4,11,2,5,1,8,17,4,1,4,9,5,8,4,7,2,9,5,11,3,3,2,4,7,3,5,8,5,4,7,6,6,8,7,4,2,4,5,3,3,7,9,3,5,6,3,10,0,6,3,5,11,4,2,7,7,11,4,16,8,4,12,4,3,3,4,3,6,2,10,4,6,1,5,9,9,8,2,3,2,6,7,12,5,5,4,5,2,4,0,13,1,6,2,12,7,6,2,1,6,4,4,7,7,11,2,7,8,1,14,6,5,3,6,9,7,6,11,1,6,12,8,10,7,7,1,6,9,3,6,5,3,8,2,12,6,5,3,5,10,18,12,6,11,3,6,8,9,3,2,13,13
"1772071044_A11",44,25,4,8,5,47,13,19,43,11,11,12,7,19,8,43,11,5,6,23,7,2,26,12,25,11,1,7,7,2,7,15,11,4,10,6,20,21,3,8,25,3,5,11,7,7,2,6,6,27,2,3,8,6,6,7,9,4,12,6,5,7,6,19,10,21,14,9,43,13,26,9,19,8,40,6,7,14,15,6,15,12,4,6,19,5,11,17,8,2,11,2,4,7,5,13,171,63,5,14,6,11,3,1,8,2,22,15,3,5,17,29,2,5,12,7,8,8,19,16,14,22,23,16,10,8,9,6,21,7,11,7,3,17,9,3,6,50,8,14,37,19,8,16,56,8,11,14,25,10,87,23,7,47,15,69,47,32,18,16,43,38,6,127,13,12,13,44,93,12,23,13,15,8,16,7,14,6,52,40,22,25,65,21,26,21,25,16,51,9,27,41,17,13,53,21,8,39,16,48,75,12,5,50,18,26,45,8,23,4,10,6,4,2,16,7,4,1,8,448,2,1,5,2,13,6,10,8,10,1,3,12,3,9,12,7,9,2,5,12,8,4,5,5,13,1,5,7,4,9,8,7,8,7,15,10,2,4,5,6,4,7,6,1,10,5,6,1,8,6,8,2,3,5,7,9,11,9,6,13,8,8,2,2,2,6,3,1,4,16,8,3,12,12,3,6,9,5,1,10,5,6,3,4,11,9,20,12,9,6,7,6,8,4,7,5,9,9,3,7,5,3,11,6,8,5,2,3,6,4,12,5,13,11,3,7,3,2,15,5,2,5,17,7,5,2,23,6,5,6,7,18,10,3,10,12,11,16,13,4,3,9,7,13,3,10,6,9,10,13,16,10,4,8,8,6,6,8,11,7,7,5,11,12,1,10,2,5,11,4,5,7,1,14,12,5,5,7,8,10
"1772067059_H12",42,26,4,18,12,75,14,19,42,9,13,10,5,35,8,37,8,6,14,12,10,4,3,7,29,26,10,9,8,2,9,14,15,7,19,5,26,24,7,9,24,11,8,17,9,16,12,8,14,24,5,12,12,9,6,9,26,4,20,20,16,24,9,24,6,22,10,25,63,22,28,8,15,6,55,13,14,14,21,6,8,16,15,10,15,19,16,16,17,20,12,6,5,9,10,3,186,99,13,10,9,16,5,4,14,5,26,12,4,9,38,52,2,7,19,21,26,19,37,25,24,20,45,14,22,16,24,25,34,9,20,26,10,23,23,12,21,53,37,16,66,16,11,16,92,11,23,10,32,11,96,60,15,72,19,65,86,45,13,18,42,45,9,161,8,12,11,76,171,22,23,10,12,10,22,11,9,6,80,42,25,16,64,37,36,19,12,14,22,11,22,36,10,32,41,14,4,20,17,69,102,14,2,37,14,27,59,32,26,2,6,9,5,4,18,18,2,7,9,304,0,3,3,4,7,5,15,6,7,9,6,21,5,7,19,7,14,2,2,9,13,4,6,3,13,8,11,3,1,5,6,12,3,11,18,7,3,12,6,9,12,22,10,8,13,9,7,5,1,11,2,10,14,5,6,7,12,8,11,11,6,2,7,6,6,8,4,14,7,17,2,10,8,15,3,8,7,3,10,12,12,11,5,8,14,8,12,16,7,15,6,18,9,2,7,8,17,9,6,6,12,8,9,12,8,4,6,5,13,15,6,12,16,10,6,13,7,1,15,2,9,6,25,12,9,9,5,7,10,7,8,12,13,7,12,7,19,10,14,1,5,6,12,8,7,5,10,7,9,9,8,3,5,13,12,9,3,6,5,7,10,5,10,5,14,11,8,10,11,7,5,23,9,7,12,6,10,12,9,7
"1772067058_E11",38,26,2,11,9,26,17,8,45,5,12,11,9,30,6,44,11,2,4,17,10,1,29,18,18,6,3,11,13,6,10,7,15,4,9,7,40,13,11,13,12,4,3,10,5,6,13,6,18,19,6,3,10,9,8,7,12,4,10,9,5,13,5,12,6,7,13,8,47,7,13,13,5,13,60,11,11,12,7,2,7,12,15,10,21,7,7,13,7,1,16,4,5,8,8,7,192,99,7,17,8,18,4,3,10,7,14,15,7,6,10,7,2,7,25,13,17,17,6,22,19,19,37,15,12,15,20,7,18,11,12,18,9,16,14,5,13,80,7,11,37,18,12,14,76,5,15,6,36,7,44,39,15,39,7,35,80,19,21,9,34,21,3,149,6,12,9,26,57,24,36,16,12,9,17,4,18,9,75,30,24,20,58,9,22,20,22,10,31,11,25,25,9,23,46,14,9,22,9,59,34,12,5,52,12,27,31,19,8,0,7,8,3,0,9,5,4,1,17,417,1,1,15,1,4,7,5,9,2,3,7,7,5,5,15,6,10,3,7,7,3,8,3,6,12,5,8,8,3,2,8,6,4,8,19,8,5,5,4,10,1,8,12,2,10,3,2,1,3,2,8,5,12,5,4,4,7,5,4,8,5,2,10,2,5,4,5,11,1,14,8,5,7,8,4,9,11,10,3,6,9,2,9,3,10,8,17,13,7,7,4,15,8,6,11,4,14,8,5,6,8,2,7,13,11,7,2,1,5,3,11,12,11,7,7,7,2,1,10,13,5,5,13,7,8,6,6,4,7,10,5,18,4,7,8,6,10,11,6,6,9,8,8,14,5,4,5,5,5,5,10,7,8,4,11,4,4,6,3,8,6,4,13,7,4,13,4,7,9,4,3,14,4,12,9,2,10,6,12,12
"1772067060_C03",55,33,2,15,11,106,24,14,29,4,17,17,6,21,11,68,4,5,6,15,21,5,14,11,30,11,1,5,11,4,4,19,9,19,16,6,35,19,15,5,12,15,6,20,10,13,21,9,6,31,17,6,6,6,3,5,18,5,23,14,10,16,4,28,3,13,20,15,68,18,31,12,12,11,55,8,9,24,7,6,10,10,19,9,20,15,10,20,11,19,16,6,7,14,11,8,221,94,8,14,2,15,5,0,11,1,24,20,5,8,22,34,1,11,30,11,20,25,11,27,28,16,48,17,10,11,19,26,40,16,13,9,9,11,23,16,20,102,10,20,54,14,10,17,80,13,26,11,32,11,78,51,22,50,11,70,75,60,11,21,45,43,13,184,10,13,13,59,107,15,28,17,20,11,13,8,10,17,90,33,33,21,98,33,47,20,33,18,33,17,41,64,33,34,75,16,6,26,14,74,123,15,5,53,14,28,54,33,17,0,6,2,7,1,10,6,2,4,5,507,1,6,10,5,9,5,22,9,0,2,11,15,2,2,18,6,7,3,8,26,8,12,3,4,17,6,11,8,13,2,9,11,3,8,18,15,8,9,4,11,6,4,10,2,16,17,8,5,4,11,5,7,4,9,7,8,11,12,9,15,2,4,6,5,10,6,3,10,4,23,7,6,8,22,5,7,7,7,7,6,9,6,4,8,14,5,14,20,9,16,6,11,4,7,12,7,18,9,12,7,6,7,15,11,12,4,7,11,8,4,11,5,10,6,6,5,11,3,10,2,12,8,15,8,8,5,23,3,9,14,13,13,6,4,14,14,11,16,8,10,9,15,9,16,2,4,6,4,14,6,9,8,4,5,10,9,6,4,4,14,12,4,26,7,13,14,9,3,8,8,7,15,0,10,11,4,9,8,13,9
"1772066073_H02",51,19,3,22,14,29,9,9,13,8,11,3,16,43,14,47,7,1,4,3,17,4,7,9,14,8,5,7,6,4,4,7,10,1,5,7,31,11,3,16,11,7,5,10,4,11,2,5,7,30,8,3,3,5,4,6,18,1,12,7,14,17,11,22,13,17,8,12,31,11,31,9,4,14,14,4,19,10,8,6,4,7,10,7,13,3,8,4,6,7,17,10,4,4,3,4,180,60,7,7,11,16,7,6,5,3,24,14,6,5,17,25,4,3,22,5,4,8,5,7,6,7,22,9,10,10,9,8,28,3,4,10,6,20,8,6,3,130,3,29,48,16,15,26,53,15,9,22,69,10,75,36,10,28,20,38,78,40,27,7,46,67,10,125,21,9,11,60,61,20,22,13,21,20,12,12,17,13,87,25,24,22,70,18,30,15,29,6,12,8,35,27,21,11,44,14,13,28,7,106,79,12,5,68,13,33,66,27,23,0,18,10,1,0,10,11,6,3,3,695,1,1,3,4,25,6,4,5,7,4,8,10,3,4,12,5,12,5,4,8,0,4,3,4,12,0,4,4,5,5,5,4,2,12,10,9,7,7,6,2,3,9,9,1,10,3,8,5,1,6,6,7,5,9,9,6,5,12,7,7,5,10,12,10,1,6,4,4,5,14,4,2,13,7,6,4,1,5,7,8,6,3,4,12,15,12,23,13,4,13,2,19,2,7,8,10,3,13,6,5,2,2,8,8,7,8,7,9,15,3,10,6,16,10,5,5,7,3,18,2,8,6,14,7,9,3,2,5,3,1,3,10,10,6,6,5,4,11,7,4,6,5,4,5,0,6,6,8,9,5,11,11,4,4,6,9,8,11,17,1,11,3,21,9,3,7,5,2,9,2,6,11,1,8,11,8,5,3,23,24
"1772071035_H06",67,74,4,20,23,102,27,23,63,8,24,26,16,48,14,62,8,6,21,22,12,20,14,17,36,7,4,15,12,3,8,9,19,10,28,8,37,23,13,13,16,9,20,12,12,13,9,17,21,63,22,13,17,5,6,9,34,3,17,9,12,24,15,34,10,46,13,52,62,22,49,10,15,19,112,19,30,19,11,2,15,29,10,9,39,16,18,11,12,22,6,14,7,11,9,9,239,87,13,14,19,18,11,2,10,2,13,9,9,9,16,33,11,9,34,15,20,10,13,32,28,22,27,20,21,7,18,19,36,8,17,31,9,38,14,6,15,81,7,22,74,23,34,23,127,24,11,19,40,17,123,54,18,53,15,49,63,47,17,22,30,43,11,139,21,8,6,45,70,24,25,29,18,26,8,6,20,14,76,72,36,31,142,22,68,21,25,23,28,23,20,41,24,27,35,9,12,37,21,85,34,19,4,55,26,18,90,28,19,2,12,16,3,5,14,9,7,6,0,936,1,6,8,4,8,3,13,11,2,5,6,28,11,6,22,9,20,4,9,17,5,3,10,7,14,6,8,3,6,7,11,18,6,22,15,10,9,6,4,5,6,10,7,2,20,10,9,12,9,5,5,9,7,8,5,11,15,15,2,9,8,7,8,9,5,6,4,4,5,28,6,3,11,21,1,10,10,16,6,16,9,7,9,4,17,17,20,14,10,12,5,19,4,5,9,2,15,9,9,10,8,8,20,11,11,8,13,5,6,17,10,4,18,16,10,11,4,2,14,6,18,4,16,7,6,11,15,7,6,8,6,14,30,6,6,8,6,15,19,5,11,11,5,14,10,6,6,7,6,10,8,10,6,11,7,7,3,11,6,14,9,5,19,16,4,11,9,14,27,8,12,6,2,14,7,6,12,12,17,11
"1772066080_C02",70,64,6,36,31,166,63,34,88,9,26,24,23,69,17,82,18,6,17,30,17,15,9,8,59,22,5,9,16,7,10,19,33,15,24,21,51,31,19,26,29,12,16,23,20,13,22,23,18,82,16,19,15,18,15,6,46,6,32,37,33,38,19,64,24,68,46,52,75,31,78,19,12,27,94,17,46,24,32,17,22,35,21,42,52,16,27,25,16,21,37,15,12,15,12,10,286,169,18,15,25,13,17,6,17,6,38,19,15,13,31,59,0,14,69,20,29,35,42,53,38,45,55,37,38,10,51,28,54,18,25,34,17,26,26,15,33,116,15,22,108,31,38,39,191,18,27,34,67,23,164,98,25,99,23,102,65,80,30,31,47,68,27,165,21,18,17,52,81,15,65,36,21,23,15,9,34,28,70,80,33,42,81,28,51,28,20,12,35,20,53,62,23,36,51,12,18,33,26,62,50,35,3,65,22,22,74,21,18,2,18,30,5,10,8,11,11,5,10,386,4,7,4,3,11,12,21,18,3,8,12,19,12,14,24,16,19,6,11,14,12,3,8,12,13,5,12,8,4,9,12,13,9,25,27,15,14,4,13,12,5,16,18,10,23,8,22,8,11,6,15,11,17,7,10,6,33,13,10,15,17,7,14,6,12,27,6,20,12,18,25,12,17,20,6,8,16,7,8,18,19,11,10,11,24,9,25,16,20,12,9,22,7,10,27,8,13,17,9,6,7,5,34,23,14,10,5,5,15,16,16,6,26,22,13,18,12,4,34,11,13,8,26,4,17,15,17,10,11,11,6,17,28,4,10,17,18,14,12,6,10,19,11,19,8,10,12,8,16,9,13,11,17,14,16,11,5,17,9,12,12,8,22,9,18,33,7,13,21,13,9,18,8,6,20,9,18,8,28,13
"1772071045_B06",26,40,10,7,14,73,14,16,62,4,17,21,19,29,12,43,9,4,9,17,15,6,3,12,20,10,4,11,5,1,6,8,5,2,5,3,28,13,11,10,14,9,5,10,5,6,3,10,8,30,7,2,5,4,2,0,15,3,11,9,10,10,3,19,4,17,8,15,38,10,25,7,4,13,44,11,11,9,13,7,7,10,5,14,26,8,7,5,6,4,32,3,7,3,3,5,198,67,12,6,12,4,4,4,4,4,15,14,2,5,5,7,6,5,28,14,7,12,10,21,6,13,26,17,13,6,11,7,24,7,6,9,4,8,10,2,7,70,12,14,55,22,14,10,70,16,19,13,55,2,62,42,18,60,7,39,97,49,28,15,18,43,6,124,12,8,13,25,31,24,32,13,9,29,20,6,18,5,73,35,43,27,73,21,43,21,37,8,28,17,47,33,12,23,85,11,8,21,11,69,75,29,7,56,27,25,57,15,29,3,7,10,4,2,9,2,6,3,6,322,0,2,5,2,10,3,5,8,2,2,5,13,3,6,12,2,24,5,6,7,7,7,2,3,9,6,4,3,5,4,2,8,1,8,14,8,0,4,3,6,2,5,11,4,8,7,5,3,4,2,3,5,1,9,4,7,8,10,8,6,2,4,3,7,2,5,5,3,4,25,5,4,5,5,3,1,2,4,1,9,7,2,6,4,3,13,17,10,7,10,2,11,8,4,12,1,8,4,5,10,6,2,9,6,8,7,2,3,8,7,15,14,16,9,4,9,3,3,14,3,3,5,8,15,2,6,5,4,5,3,1,12,4,5,7,8,5,17,9,4,8,11,4,7,5,6,4,3,7,5,7,14,9,5,6,5,5,13,8,7,11,4,3,5,8,14,7,3,10,3,6,13,4,6,8,8,7,4,15,4
